Area,Description,Emirate,Zone
MANGROVE VILLAGE,MANGROVE VILLAGE,ABU DHABI,ZONE K
MANKHOOL,MANKHOOL,DUBAI,ZONE E
MARCY AREA,MARCY AREA,DUBAI,ZONE E
MARGHAN,MARGHAN,DUBAI,ZONE A
MARINA MALL,MARINA MALL,ABUDHABI,ZONE K
MARJAN ISLAND,MARJAN ISLAND,RAS AL KHAIMAH,ZONE I
MARSA AL KHOR,MARSA AL KHOR,DUBAI,ZONE F
MASAFI,MASAFI,FUJAIRAH,ZONE I
MASAKIN,MASAKIN,AL AIN,ZONE J
MASDAR CITY,MASDAR CITY,ABU DHABI,ZONE K
MASJID AL MAZROUI,MASJID AL MAZROUI,UMM AL QUWAIN,ZONE I
MAYSALOON,MAYSALOON,SHARJAH,ZONE H
MAZAYA BUSINESS CENTER,MAZAYA BUSINESS CENTER,DUBAI,ZONE E
MAZAYED VILLAGE,MAZAYED VILLAGE,ABU DHABI,ZONE K
MAZYAD AL AIN,MAZYAD AL AIN,AL AIN,ZONE J
MBZ,MBZ,ABU DHABI,ZONE K
MBZ CITY,MBZ CITY,ABU DHABI,ZONE K
MBZ ZONE 13,MBZ ZONE 13,ABU DHABI,ZONE K
MBZ ZONE 17,MBZ ZONE 17,ABU DHABI,ZONE K
MBZ ZONE 19,MBZ ZONE 19,ABU DHABI,ZONE K
MBZ ZONE 20,MBZ ZONE 20,ABU DHABI,ZONE K
MBZ ZONE 26 & 27,MBZ ZONE 26 & 27,ABU DHABI,ZONE K
MEADOWS,MEADOWS,DUBAI,ZONE B
ME'AISEM 1 -IMPZ,ME'AISEM 1 -IMPZ,DUBAI,ZONE A
MEAISEM 2,MEAISEM 2,DUBAI,ZONE A
MEDIA CITY,MEDIA CITY,DUBAI,ZONE C
MERASHID,MERASHID,FUJAIRAH,ZONE I
MEYDAN,MEYDAN,DUBAI,ZONE F
MEYDAN HEIGHTS,MEYDAN HEIGHTS,DUBAI,ZONE F
MEZYED,MEZYED,AL AIN,ZONE J
MILLENIUM VILLAS,MILLENIUM VILLAS,DUBAI,ZONE F
MINA AL ARAB,MINA AL ARAB,RAS AL KHAIMAH,ZONE I
MINA ROAD AUH,MINA ROAD AUH,ABUDHABI,ZONE K
MIRA TOWNHOUSES,MIRA TOWNHOUSES,DUBAI,ZONE A
MIRDIF,MIRDIF,DUBAI,ZONE G
MIRDIFF,MIRDIFF,DUBAI,ZONE G
MOHAMED BIN,MOHAMED BIN ZAYED CITY,ABUDHABI,ZONE K
MOHAMMED BIN ZAYED CITY,MOHAMMED BIN ZAYED CITY,ABUDHABI,ZONE K
"MOHAMMED BIN ZAYED CITY, SHABIA","MOHAMMED BIN ZAYED CITY, SHABIA",ABU DHABI,ZONE K
MOTOR CITY,MOTOR CITY,DUBAI,ZONE A
MOTOR WORLD,MOTOR WORLD,ABU DHABI,ZONE K
MOWAILEH CAMP,MOWAILEH CAMP,SHARJAH,ZONE H
MUDON,MUDON,DUBAI,ZONE A
MUHAISANAH 1,MUHAISANAH 1,DUBAI,ZONE G
MUHAISANAH 2,MUHAISANAH 2,DUBAI,ZONE G
MUHAISANAH 3,MUHAISANAH 3,DUBAI,ZONE G
MUHAISANAH 4,MUHAISANAH 4,DUBAI,ZONE G
MUHAISNAH,MUHAISNAH,DUBAI,ZONE G
MUMZAR - SHARJAH,MUMZAR - SHARJAH,SHARJAH,ZONE H
MURAQQABAT,MURAQQABAT,DUBAI,ZONE E
MURBAH BEACH,MURBAH BEACH,FUJAIRAH,ZONE I
"MURQQUAB, AL FAQA","MURQQUAB, AL FAQA",DUBAI,ZONE F
MURROR ROAD,MURROR ROAD,ABUDHABI,ZONE K
MUSAFFAH 1,MUSAFFAH 1,ABU DHABI,ZONE K
"MUSAFFAH SHABIYA 11, 12","MUSAFFAH SHABIYA 11, 12",ABU DHABI,ZONE K
MUSHEIRIF,MUSHEIRIF,AJMAN,ZONE I
MUSHRIF,MUSHRIF,DUBAI,ZONE G
MUSSAFAH,MUSSAFAH,ABUDHABI,ZONE K
MUSSAFAH SHABIYA,MUSSAFAH SHABIYA,ABU DHABI,ZONE K
MUSSAFAH_2,MUSSAFAH_2,ABU DHABI,ZONE K
MUSSAFAH_3,MUSSAFAH_3,ABU DHABI,ZONE K
MUSSAFAH_4,MUSSAFAH_4,ABU DHABI,ZONE K
MUWAFJAH,MUWAFJAH,SHARJAH,ZONE H
MUWAIJI AL AIN,MUWAIJI AL AIN,AL AIN,ZONE J
MUWAILEH AREA SHJ,MUWAILEH AREA SHJ,SHARJAH,ZONE H
MUWAILEH COMMERCIAL,MUWAILEH COMMERCIAL,SHARJAH,ZONE H
MUZAIRAH,MUZAIRAH,SHARJAH,ZONE H
NAD AL SHEBA,NAD AL SHEBA,DUBAI,ZONE F
NAD ALHAMMAR,NAD AL HAMMAR,DUBAI,ZONE G
NADD AL HAMAR,NADD AL HAMAR,DUBAI,ZONE G
NADD AL SHIBA 1,NADD AL SHIBA 1,DUBAI,ZONE F
NADD AL SHIBA 2,NADD AL SHIBA 2,DUBAI,ZONE F
NADD AL SHIBA 3,NADD AL SHIBA 3,DUBAI,ZONE F
NADD AL SHIBA 4,NADD AL SHIBA 4,DUBAI,ZONE F
NADD HESSA (SILICON OASIS),NADD HESSA (SILICON OASIS),DUBAI,ZONE F
NAHEL,NAHEL,AL AIN,ZONE J
NAIF,NAIF,DUBAI,ZONE E
NATIONAL PAINT,NATIONAL PAINT,SHARJAH,ZONE H
NAZDA ST,NAZDA ST,ABUDHABI,ZONE K
NEIMA,NEIMA,AL AIN,ZONE J
NEW AL NAHDA,NEW AL NAHDA,ABU DHABI,ZONE K
NEW HAMARIYA,NEW HAMARIYA,SHARJAH,ZONE H
NUJOOM ISLAND,NUJOOM ISLAND,SHARJAH,ZONE H
OFFICERS CIT,OFFICERS CITY,ABUDHABI,ZONE K
OFFICERS CLUB,OFFICERS CLUB,ABU DHABI,ZONE K
OLD FUJAIRAH CITY,OLD FUJAIRAH CITY,FUJAIRAH,ZONE I
OLD MUWAILEH,OLD MUWAILEH,SHARJAH,ZONE H
OLD TOWN AREA,OLD TOWN AREA,UMM AL QUWAIN,ZONE I
OUD AL MUTEENA,OUD AL MUTEENA,DUBAI,ZONE G
OUD AL MUTEENA 1,OUD AL MUTEENA 1,DUBAI,ZONE G
OUD AL MUTEENA 2,OUD AL MUTEENA 2,DUBAI,ZONE G
OUD MEHTA,OUD MEHTA,DUBAI,ZONE E
OUD METHA,OUD METHA,DUBAI,ZONE E
PALM JABAL ALI,PALM JABAL ALI,DUBAI,ZONE C
PALM JUMEIRA,PALM JUMEIRAH,DUBAI,ZONE C
POLO RESIDENCE,POLO RESIDENCE,DUBAI,ZONE F
PORT KHALID,PORT KHALID,SHARJAH,ZONE H
PORT SAEED,PORT SAEED,DUBAI,ZONE E
PORT ZAYED,PORT ZAYED,ABU DHABI,ZONE K
QARAYEN SHJ,QARAYEN SHJ,SHARJAH,ZONE H
QASR AL BAHR,QASR AL BAHR,ABU DHABI,ZONE K
QIDAF,QIDAF,FUJAIRAH,ZONE I
QUEUE POINT,QUEUE POINT,DUBAI,ZONE F
RABDAN ACADEMY,RABDAN ACADEMY,ABU DHABI,ZONE K
RAK,RAS AL KHAIMAH,RAS AL KHAIMAH,ZONE I
RAK BANK,RAK BANK,RAS AL KHAIMAH,ZONE I
RAK CITY,RAK CITY,RAS AL KHAIMAH,ZONE I
RAK INTERNATIONAL AIRPORT,RAK INTERNATIONAL AIRPORT,RAS AL KHAIMAH,ZONE I
RAMLAT ZAKHER,RAMLAT ZAKHER,AL AIN,ZONE J
RAS AL KHAIMA CITY OUTER,RAS AL KHAIMA CITY OUTER,RAS AL KHAIMAH,ZONE I
RAS AL KHOR,RAS AL KHOR,DUBAI,ZONE F
RAS AL KHOR IND. 1,RAS AL KHOR IND. 1,DUBAI,ZONE F
RAS AL KHOR IND. 2,RAS AL KHOR IND. 2,DUBAI,ZONE F
RAS AL KHOR IND. 3,RAS AL KHOR IND. 3,DUBAI,ZONE F
RAS AL SELAAB,RAS AL SELAAB,RAS AL KHAIMAH,ZONE I
RASHIDIYA,RASHIDIYA,DUBAI,ZONE G
RAWADAT AL REEF,RAWADAT AL REEF,ABU DHABI,ZONE K
REEM ISLAND,REEM ISLAND,ABUDHABI,ZONE K
REMAH,REMAH,AL AIN,ZONE J
REMRAAM,REMRAAM,DUBAI,ZONE A
RIEN AL JASHIEN,RIEN AL JASHIEN,ABUDHABI,ZONE K
RIGGAT AL BUTEEN,RIGGAT AL BUTEEN,DUBAI,ZONE E
RIQQA,RIQQA,DUBAI,ZONE E
ROLLA,ROLLA,SHARJAH,ZONE H
ROWDHAT,ROWDHAT,ABU DHABI,ZONE K
RUGHAYLAT,RUGHAYLAT,FUJAIRAH,ZONE I
RUMAILAH,RUMAILAH,FUJAIRAH,ZONE I
RUMAILAH - 3 AJMAN,RUMAILAH - 3 AJMAN,AJMAN,ZONE I
RUWAIS,RUWAIS,ABUDHABI,ZONE K
SAA,SAA,AL AIN,ZONE J
SAADIYAT ISL,SAADIYAT ISLAND,ABUDHABI,ZONE K
SAADIYAT ISLAND,SAADIYAT ISLAND,ABU DHABI,ZONE K
sadiyath island,SADIYAT ISLAND,ABU DHABI,ZONE K
SADIYAT ISLAND,SADIYAT ISLAND,ABU DHABI,ZONE K
SAFAD,SAFAD,FUJAIRAH,ZONE I
SAI,SAI,RAS AL KHAIMAH,ZONE I
SAI OUTER,SAI OUTER,RAS AL KHAIMAH,ZONE I
SAIB AL ASKH,SAIB AL ASKHAR,AL AIN,ZONE J
SAIF ZONE,SAIF ZONE,SHARJAH,ZONE H
SAIH SHUAIB 1,SAIH SHUAIB 1,DUBAI,ZONE C
SAIH SHUAIB 2,SAIH SHUAIB 2,DUBAI,ZONE C
SAIH SHUAIB 3 - DUBAI INDUSTRIAL CITY,SAIH SHUAIB 3 - DUBAI INDUSTRIAL CITY,DUBAI,ZONE C
SAIH SHUAIB 4,SAIH SHUAIB 4,DUBAI,ZONE C
SAKAMKAM 1,SAKAMKAM 1,FUJAIRAH,ZONE I
SAKAMKAM 2 - AL HILAL CITY (U/C),SAKAMKAM 2 - AL HILAL CITY (U/C),FUJAIRAH,ZONE I
SALAMAT AAN,SALAMAT AAN,ALAIN,ZONE J
SALAMEH,SALAMEH,UMM AL QUWAIN,ZONE I
SAMA AL JADAF,SAMA AL JADAF,DUBAI,ZONE C
SAMHA,SAMHA,ABUDHABI,ZONE K
SAMNAN,SAMNAN,SHARJAH,ZONE H
SANAIYA AL AIN,SANAIYA AL AIN,AL AIN,ZONE J
SAS AL NAKHE,SAS AL NAKHEEL,ABUDHABI,ZONE K
SAS AL NAKHL VILLAGE,SAS AL NAKHL VILLAGE,ABU DHABI,ZONE K
SATWA,SATWA,DUBAI,ZONE D
SCHOOL ZONE,SCHOOL ZONE,SHARJAH,ZONE H
SEIH AL GHUBB,SEIH AL GHUBB,RAS AL KHAIMAH,ZONE I
SEIH AL HARF,SEIH AL HARF,RAS AL KHAIMAH,ZONE I
SEIH AL HUDAIBAH,SEIH AL HUDAIBAH,RAS AL KHAIMAH,ZONE I
SEIH AL URABI,SEIH AL URABI,RAS AL KHAIMAH,ZONE I
"SEIH SHIHYAR,SEIH AL BURAIRAT, AL QUSAIDAT","SEIH SHIHYAR,SEIH AL BURAIRAT, AL QUSAIDAT",RAS AL KHAIMAH,ZONE I
SHA'AB AL ASHKHER,SHA'AB AL ASHKHER,AL AIN,ZONE J
"SHA'AM, WADI SHAAM, AL QIR","SHA'AM, WADI SHAAM, AL QIR",RAS AL KHAIMAH,ZONE I
SHABIA - 9,SHABIA - 9,ABU DHABI,ZONE K
SHAHAMA,SHAHAMA,ABUDHABI,ZONE K
SHAKBOUT CITY AUH,SHAKBOUT CITY AUH,ABUDHABI,ZONE K
SHAKHBOUT CITY,SHAKHBOUT CITY,ABU DHABI,ZONE K
SHAMAL HAQUEEL,SHAMAL HAQUEEL,RAS AL KHAIMAH,ZONE I
SHAMAL ZULPHAR,SHAMAL ZULPHAR,RAS AL KHAIMAH,ZONE I
SHAMKAH,SHAMKAH,ABUDHABI,ZONE K
SHAREAT AL MUWAIJI,SHAREAT AL MUWAIJI,AL AIN,ZONE J
SHARJAH AIRPORT,SHARJAH AIRPORT,SHARJAH,ZONE H
SHARJAH CORNICH AREA,SHARJAH CORNICH AREA,SHARJAH,ZONE H
"SHARJAH EQUESTRAIN AND RACING CLUB, AL ATAIN","SHARJAH EQUESTRAIN AND RACING CLUB, AL ATAIN",SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 1,SHARJAH INDUSTRIAL AREA 1,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 10,SHARJAH INDUSTRIAL AREA 10,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 11,SHARJAH INDUSTRIAL AREA 11,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 12,SHARJAH INDUSTRIAL AREA 12,SHARJAH,ZONE H
"SHARJAH INDUSTRIAL AREA 13, NATIONAL PAINTS","SHARJAH INDUSTRIAL AREA 13, NATIONAL PAINTS",SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 15,SHARJAH INDUSTRIAL AREA 15,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 17,SHARJAH INDUSTRIAL AREA 17,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 18,SHARJAH INDUSTRIAL AREA 18,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 2,SHARJAH INDUSTRIAL AREA 2,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 3,SHARJAH INDUSTRIAL AREA 3,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 4,SHARJAH INDUSTRIAL AREA 4,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 5,SHARJAH INDUSTRIAL AREA 5,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 6,SHARJAH INDUSTRIAL AREA 6,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 7,SHARJAH INDUSTRIAL AREA 7,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 8,SHARJAH INDUSTRIAL AREA 8,SHARJAH,ZONE H
SHARJAH INDUSTRIAL AREA 9,SHARJAH INDUSTRIAL AREA 9,SHARJAH,ZONE H
SHARJAH SPORTS CLUB,SHARJAH SPORTS CLUB,SHARJAH,ZONE H
SHARM,SHARM,FUJAIRAH,ZONE I
SHARQAN,SHARQAN,SHARJAH,ZONE H
SHARQAN AREA SHJ,SHARQAN AREA SHJ,SHARJAH,ZONE H
SHAWAMEKH,SHAWAMEKH,ABUDHABI,ZONE K
SHAWKA,SHAWKA,RAS AL KHAIMAH,ZONE I
SHEIKH KHALIFA GENERAL HOSPITAL,SHEIKH KHALIFA GENERAL HOSPITAL,UMM AL QUWAIN,ZONE I
SHEIKH KHALIFA HOSPITAL,SHEIKH KHALIFA HOSPITAL,RAS AL KHAIMAH,ZONE I
SHEIKH KHALIFA MEDICAL CITY,SHEIKH KHALIFA MEDICAL CITY,ABU DHABI,ZONE K
SHEIKH ZAYED CRICKET STADIUM,SHEIKH ZAYED CRICKET STADIUM,ABU DHABI,ZONE K
SHEIKH ZAYED GRAND MOSQUE,SHEIKH ZAYED GRAND MOSQUE,ABU DHABI,ZONE K
SHK ZAYED RD,SHK ZAYED RD,DUBAI,ZONE D
SHWEEFI ZAKHER,SHWEEFI ZAKHER,AL AIN,ZONE J
SIDROH 1,SIDROH 1,RAS AL KHAIMAH,ZONE I
SIDROH 2,SIDROH 2,RAS AL KHAIMAH,ZONE I
SILICON,SILICON OASIS,DUBAI,ZONE F
SKYLINE UNIVERSITY,SKYLINE UNIVERSITY,SHARJAH,ZONE H
SOFOUH,SOFOUH,DUBAI,ZONE C
SOUR KALBA,SOUR KALBA,FUJAIRAH,ZONE I
SOUTHERN MARINA VILLAGE,SOUTHERN MARINA VILLAGE,ABU DHABI,ZONE K
SPORTS CITY,SPORTS CITY,DUBAI,ZONE A
SPRINGS,SPRINGS,DUBAI,ZONE B
SUHAILA KALBA,SUHAILA KALBA,FUJAIRAH,ZONE I
SUHAIM,SUHAIM,RAS AL KHAIMAH,ZONE I
SUSTAINABLE CITY,SUSTAINABLE CITY,DUBAI,ZONE A
SWEIHAN,SWEIHAN,AL AIN,ZONE J
TAHWEELA,TAHWEELA,ABUDHABI,ZONE K
TAWAM,TAWAM,AL AIN,ZONE J
TAWAM HOSPITAL,TAWAM HOSPITAL,AL AIN,ZONE J
TAWI BARUQ,TAWI BARUQ,FUJAIRAH,ZONE I
TCA,TOURIST CLUB AREA,ABUDHABI,ZONE K
TECOM,TECOM,DUBAI,ZONE B
THE HILLS,THE HILLS,DUBAI,ZONE B
THE VILLA,THE VILLA,DUBAI,ZONE F
TOURIST CLUB - SALAM STREET,TOURIST CLUB - SALAM STREET,ABU DHABI,ZONE K
"TOURIST CLUB AREA, ABU DHABI MALL","TOURIST CLUB AREA, ABU DHABI MALL",ABU DHABI,ZONE K
TOWN CENTRE,TOWN CENTRE,FUJAIRAH,ZONE I
TOWN SQUARE,TOWN SQUARE,DUBAI,ZONE A
TRADE CENTRE 1,TRADE CENTRE 1,DUBAI,ZONE E
UAQ,UMM AL QUWAIN,UMM AL QUWAIN,ZONE I
UAQ CAMEL RACE TRACK,UAQ CAMEL RACE TRACK,UMM AL QUWAIN,ZONE I
UAQ NEW IND. AREA,UAQ NEW IND. AREA,UMM AL QUWAIN,ZONE I
UM AL NAR,UM AL NAR,ABUDHABI,ZONE K
UM ALTARAFFA,UM ALTARAFFA,SHARJAH,ZONE H
UM FANNAIN,UM FANNAIN,SHARJAH,ZONE H
UMM AL DAMAN,UMM AL DAMAN,ABUDHABI,ZONE K
UMM AL QUWAIN AIRPORT,UMM AL QUWAIN AIRPORT,UMM AL QUWAIN,ZONE I
UMM AL QUWAIN HOSPITAL,UMM AL QUWAIN HOSPITAL,UMM AL QUWAIN,ZONE I
UMM AL QUWAIN MARINA,UMM AL QUWAIN MARINA,UMM AL QUWAIN,ZONE I
UMM AL SHEIF,UMM AL SHEIF,DUBAI,ZONE D
Umm Dera,Umm Dera,UMM AL QUWAIN,ZONE I
UMM GHAFA AAN,UMM GHAFA AAN,ALAIN,ZONE J
UMM HURAIR,UMM HURAIR,DUBAI,ZONE E
UMM HURAIR 1,UMM HURAIR 1,DUBAI,ZONE E
UMM HURAIR 2,UMM HURAIR 2,DUBAI,ZONE E
UMM HURAIR 2 - DUBAI HEALTH CARE CITY,UMM HURAIR 2 - DUBAI HEALTH CARE CITY,DUBAI,ZONE E
UMM RAMOUL,UMM RAMOUL,DUBAI,ZONE G
UMM SUQEIM 1,UMM SUQEIM 1,DUBAI,ZONE D
UMM SUQEIM 2,UMM SUQEIM 2,DUBAI,ZONE D
UMM SUQEIM 3,UMM SUQEIM 3,DUBAI,ZONE D
UMM SUQUEIM,"UMM SUQUEIM 1, 2, 3",DUBAI,ZONE D
UMMGHAFA,UMMGHAFA,AL AIN,ZONE J
UNIVERSITY CITY,UNIVERSITY CITY,SHARJAH,ZONE H
UNIVERSITY OF SHARJAH CAMPUS,UNIVERSITY OF SHARJAH CAMPUS,FUJAIRAH,ZONE I
WADI AL AMARDI,WADI AL AMARDI,DUBAI,ZONE G
WADI AL SAFA 2,WADI AL SAFA 2,DUBAI,ZONE F
WADI AL SAFA 3,WADI AL SAFA 3,DUBAI,ZONE F
WADI AL SAFA 4,WADI AL SAFA 4,DUBAI,ZONE F
WADI AL SAFA 5,WADI AL SAFA 5,DUBAI,ZONE F
WADI AL SAFA 6,WADI AL SAFA 6,DUBAI,ZONE F
WADI AL SAFA 7,WADI AL SAFA 7,DUBAI,ZONE F
WADI AL SHABAK,WADI AL SHABAK,DUBAI,ZONE F
WADI BIH AREA,WADI BIH AREA,RAS AL KHAIMAH,ZONE I
WADI ESFANI,WADI ESFANI,RAS AL KHAIMAH,ZONE I
WADI SAFINEY,WADI SAFINEY,RAS AL KHAIMAH,ZONE I
WAHLA,WAHLA,FUJAIRAH,ZONE I
WARSAN,WARSAN,DUBAI,ZONE F
WARSAN 2,WARSAN 2,DUBAI,ZONE F
WARSAN 3,WARSAN 3,DUBAI,ZONE F
WASIT LAKE RESORT,WASIT LAKE RESORT,SHARJAH,ZONE H
WATANI RESIDENTIAL COMPOUND,WATANI RESIDENTIAL COMPOUND,ABU DHABI,ZONE K
WATER FRONT CITY & ISLANDS,WATER FRONT CITY & ISLANDS,DUBAI,ZONE C
YAS ISLAND,YAS ISLAND,ABUDHABI,ZONE K
YAS ISLAND EAST,YAS ISLAND EAST,ABU DHABI,ZONE K
YAS ISLAND WEST,YAS ISLAND WEST,ABU DHABI,ZONE K
YAS MARINA CIRCUIT,YAS MARINA CIRCUIT,ABU DHABI,ZONE K
ZAABEEL,ZAABEEL,DUBAI,ZONE E
ZAABEEL 1,ZAABEEL 1,DUBAI,ZONE E
ZAABEEL 2,ZAABEEL 2,DUBAI,ZONE E
ZAKHER,ZAKHER,AL AIN,ZONE J
ZAYED CITY,ZAYED CITY,ABU DHABI,ZONE K
ZAYED SPORTS CITY,ZAYED SPORTS CITY,ABUDHABI,ZONE K
ZUBARA BEACH,ZUBARA BEACH,FUJAIRAH,ZONE I

